question,reponse
Quelles cartes puis-je recharger en ligne ?,Vous pouvez recharger en ligne vos propres cartes Wajda ainsi que celles de vos bénéficiaires que vous avez ajoutées auparavant.
Quelles sont les cartes éligibles pour la recharge en ligne ?,Les cartes éligibles pour la recharge en ligne sont vos propres cartes Wajda ainsi que celles de vos bénéficiaires que vous avez ajoutées précédemment.
Comment un bénéficiaire peut-il retirer une mise à disposition Cash Express Automatic sur GAB ?,"Pour retirer une mise à disposition Cash Express Automatic sur GAB, le bénéficiaire doit disposer du code confidentiel à 4 chiffres utilisé pour la transaction et de la référence de 12 chiffres générée lors de la validation. Il peut ensuite retirer l'argent sans carte depuis n'importe quel GAB Attijariwafa bank 24h/24 et 7j/7 en appuyant sur le bouton ""Service sans carte""."
Quels sont les éléments nécessaires pour le retrait d'une mise à disposition Cash Express Automatic sur GAB ?,"Pour retirer une mise à disposition Cash Express Automatic sur GAB, le bénéficiaire doit avoir le code confidentiel à 4 chiffres utilisé pour la transaction et la référence de 12 chiffres générée lors de la validation. Il peut ensuite retirer l'argent sans carte depuis n'importe quel GAB Attijariwafa bank 24h/24 et 7j/7 en appuyant sur le bouton ""Service sans carte""."
Quels sont les documents requis pour le retrait d'une mise à disposition Cash Express Automatic sur GAB ?,"Le bénéficiaire doit avoir le code confidentiel à 4 chiffres utilisé pour la transaction ainsi que la référence de 12 chiffres générée lors de la validation pour retirer une mise à disposition Cash Express Automatic sur GAB. Il peut ensuite retirer l'argent sans carte depuis n'importe quel GAB Attijariwafa bank 24h/24 et 7j/7 en appuyant sur le bouton ""Service sans carte""."
Comment un bénéficiaire peut-il récupérer une mise à disposition Cash Express Automatic sur GAB ?,"Pour récupérer une mise à disposition Cash Express Automatic sur GAB, le bénéficiaire doit disposer du code confidentiel à 4 chiffres utilisé pour la transaction et de la référence de 12 chiffres générée lors de la validation. Il peut ensuite retirer l'argent sans carte depuis n'importe quel GAB Attijariwafa bank 24h/24 et 7j/7 en appuyant sur le bouton ""Service sans carte""."
Quelle est la procédure pour un bénéficiaire pour retirer une mise à disposition Cash Express Automatic sur GAB ?,"La procédure pour qu'un bénéficiaire retire une mise à disposition Cash Express Automatic sur GAB implique de disposer du code confidentiel à 4 chiffres utilisé pour la transaction et de la référence de 12 chiffres générée lors de la validation. Ensuite, il peut retirer l'argent sans carte depuis n'importe quel GAB Attijariwafa bank 24h/24 et 7j/7 en appuyant sur le bouton ""Service sans carte""."
Comment récupérer une mise à disposition Cash Express Automatic sur GAB ?,"Pour récupérer une mise à disposition Cash Express Automatic sur GAB, le bénéficiaire doit avoir le code confidentiel à 4 chiffres utilisé pour la transaction et la référence de 12 chiffres générée lors de la validation. Ensuite, il peut retirer l'argent sans carte depuis n'importe quel GAB Attijariwafa bank 24h/24 et 7j/7 en appuyant sur le bouton ""Service sans carte""."
Quels sont les prérequis pour le retrait d'une mise à disposition Cash Express Automatic sur GAB ?,"Les prérequis pour le retrait d'une mise à disposition Cash Express Automatic sur GAB incluent le code confidentiel à 4 chiffres utilisé pour la transaction et la référence de 12 chiffres générée lors de la validation. Le bénéficiaire peut ensuite retirer l'argent sans carte depuis n'importe quel GAB Attijariwafa bank 24h/24 et 7j/7 en appuyant sur le bouton ""Service sans carte""."
Quel est le montant maximum autorisé pour une opération de Cash Express Automatic ?,"Le plafond pour une opération de Cash Express Automatic est de 2000 DHS par transaction et de 20 000 DHS par an, sans dépasser le plafond des transactions spécifié dans le contrat Attijarinet."
Quelle est la limite d'une transaction de Cash Express Automatic ?,"La limite pour une transaction de Cash Express Automatic est de 2000 DHS par opération et de 20 000 DHS par an, sans dépasser le plafond des transactions indiqué dans le contrat Attijarinet."
Quel est le montant maximum par transaction pour Cash Express Automatic ?,"Le montant maximum par transaction pour Cash Express Automatic est de 2000 DHS, et le montant total annuel autorisé est de 20 000 DHS, sans excéder le plafond des transactions spécifié dans le contrat Attijarinet."
Quelle est la valeur maximale pour une opération de Cash Express Automatic ?,"La valeur maximale pour une opération de Cash Express Automatic est de 2000 DHS par transaction et de 20 000 DHS par an, sans dépasser le plafond des transactions stipulé dans le contrat Attijarinet."
Quel est le plafond d'une opération de Cash Express Automatic ?,"Le plafond d'une opération de Cash Express Automatic est de 2000 DHS par transaction et de 20 000 DHS par an, sans excéder le plafond des transactions spécifié dans le contrat Attijarinet."
Quelle est la limite de montant pour une transaction Cash Express Automatic ?,"La limite de montant pour une transaction Cash Express Automatic est de 2000 DHS par opération et de 20 000 DHS par an, sans dépasser le plafond des transactions mentionné dans le contrat Attijarinet."
Quel est le montant maximal autorisé pour une opération de Cash Express Automatic ?,"Le montant maximal autorisé pour une opération de Cash Express Automatic est de 2000 DHS par transaction et de 20 000 DHS par an, sans dépasser le plafond des transactions spécifié dans le contrat Attijarinet."
Qu'est-ce que le service e-Attijari ?,"Le service e-Attijari est une plateforme de banque à distance qui vous permet de consulter vos comptes, d'effectuer des opérations en temps réel et de profiter de nombreux services en ligne, disponibles 24h/24 et 7j/7."
En quoi consiste le service e-Attijari ?,"Le service e-Attijari est une solution de banque à distance qui vous offre la possibilité de consulter vos comptes, d'effectuer des opérations en temps réel et d'accéder à divers services en ligne, disponibles à tout moment, 24h/24 et 7j/7."
Qu'est-ce que e-Attijari ?,"e-Attijari est un service de banque à distance qui vous permet d'accéder à vos comptes, d'effectuer des transactions en temps réel et de bénéficier de nombreux services en ligne, accessibles 24h/24 et 7j/7."
De quoi s'agit-il avec e-Attijari ?,"Avec e-Attijari, il s'agit d'un service de banque à distance qui vous permet de gérer vos comptes, de réaliser des opérations en temps réel et de profiter de divers services en ligne, disponibles à tout moment, 24h/24 et 7j/7."
Qu'est-ce que le service e-Attijari propose ?,"Le service e-Attijari propose une plateforme de banque à distance qui vous donne accès à vos comptes, vous permet d'effectuer des opérations en temps réel et de profiter de multiples services en ligne, disponibles en permanence, 24h/24 et 7j/7."
Qu'est-ce que e-Attijari offre ?,"e-Attijari offre un service de banque à distance qui vous permet de consulter vos comptes, de réaliser des transactions en temps réel et de bénéficier de nombreux services en ligne, accessibles à tout moment, 24h/24 et 7j/7."
Qu'est-ce qui est inclus dans le service e-Attijari ?,"Le service e-Attijari inclut une plateforme de banque à distance qui vous donne la possibilité de consulter vos comptes, d'effectuer des opérations en temps réel et d'accéder à divers services en ligne, disponibles 24h/24 et 7j/7."
Quelles conditions faut-il remplir pour souscrire à e-Attijari ?,"Pour souscrire à e-Attijari, vous devez avoir plus de 18 ans et posséder un ou plusieurs comptes courants actifs auprès d'Attijariwafa bank Europe en Belgique."
Quelles sont les exigences pour s'abonner à e-Attijari ?,"Pour vous abonner à e-Attijari, vous devez être âgé de plus de 18 ans et avoir un ou plusieurs comptes courants actifs chez Attijariwafa bank Europe en Belgique."
Quels sont les prérequis pour adhérer à e-Attijari ?,Les prérequis pour adhérer à e-Attijari comprennent être âgé de plus de 18 ans et avoir un ou plusieurs comptes courants actifs chez Attijariwafa bank Europe en Belgique.
Quelles conditions sont nécessaires pour souscrire à e-Attijari ?,"Pour souscrire à e-Attijari, il faut avoir plus de 18 ans et posséder un ou plusieurs comptes courants actifs chez Attijariwafa bank Europe en Belgique."
Comment puis-je m'abonner à e-Attijari ?,"Pour vous abonner à e-Attijari, vous devez remplir les conditions suivantes : être âgé de plus de 18 ans et avoir un ou plusieurs comptes courants actifs chez Attijariwafa bank Europe en Belgique."
Quels sont les critères pour souscrire à e-Attijari ?,Les critères pour souscrire à e-Attijari sont : avoir plus de 18 ans et posséder un ou plusieurs comptes courants actifs auprès d'Attijariwafa bank Europe en Belgique.
Quelles sont les exigences de souscription à e-Attijari ?,Les exigences pour souscrire à e-Attijari sont les suivantes : être âgé de plus de 18 ans et détenir un ou plusieurs comptes courants actifs chez Attijariwafa bank Europe en Belgique.
Comment puis-je m'inscrire à e-Attijari ?,Vous pouvez vous inscrire à e-Attijari en vous rendant directement à votre agence.
Quelle est la procédure pour souscrire à e-Attijari ?,La procédure pour souscrire à e-Attijari consiste à vous présenter à votre agence bancaire.
Comment s'abonner à e-Attijari ?,"Pour vous abonner à e-Attijari, il vous suffit de vous rendre à votre agence."
Comment puis-je adhérer à e-Attijari ?,Vous pouvez adhérer à e-Attijari en vous rendant personnellement à votre agence bancaire.
Quels sont les pas à suivre pour souscrire à e-Attijari ?,Les étapes à suivre pour souscrire à e-Attijari consistent à vous présenter à votre agence bancaire.
Quelle est la méthode pour s'inscrire à e-Attijari ?,La méthode pour vous inscrire à e-Attijari est de vous rendre à votre agence et d'effectuer la procédure sur place.
Comment puis-je devenir membre d'e-Attijari ?,"Pour devenir membre d'e-Attijari, vous devez vous rendre à votre agence et suivre la procédure d'inscription qui vous sera expliquée sur place."
Quel est le tarif du service e-Attijari ?,Le service e-Attijari est gratuit pour les particuliers et coûte 6 euros par mois pour les entreprises.
Combien coûte l'abonnement à e-Attijari ?,L'abonnement à e-Attijari est gratuit pour les particuliers et facturé 6 euros par mois pour les entreprises.
Quels sont les frais associés à e-Attijari ?,"Il n'y a aucun frais pour les particuliers pour e-Attijari, tandis que les entreprises doivent payer 6 euros par mois."
Quelle est la tarification du service e-Attijari ?,Le service e-Attijari est gratuit pour les particuliers et coûte 6 euros par mois pour les entreprises.
Est-ce que e-Attijari est payant ?,e-Attijari est gratuit pour les particuliers mais coûte 6 euros par mois pour les entreprises.
Quel est le coût d'utilisation de e-Attijari ?,L'utilisation de e-Attijari est gratuite pour les particuliers et coûte 6 euros par mois pour les entreprises.
Est-ce que je devrais payer pour e-Attijari ?,"Non, e-Attijari est gratuit pour les particuliers, mais les entreprises doivent payer 6 euros par mois pour utiliser le service."
Est-il possible d'accéder à e-Attijari depuis un téléphone portable ?,"Oui, le service e-Attijari est accessible à la fois sur une plateforme web et via une application mobile. Vous pouvez télécharger l'application depuis Google Play Store ou App Store."
Puis-je utiliser e-Attijari sur mon téléphone portable ?,"Oui, vous pouvez utiliser e-Attijari sur votre téléphone portable car le service est disponible à la fois sur une plateforme web et via une application mobile."
Est-ce que je peux accéder à e-Attijari depuis mon téléphone portable ?,"Oui, e-Attijari est accessible depuis un téléphone portable grâce à son service disponible sur plateforme web et via une application mobile téléchargeable sur Google Play Store ou App Store."
Le service e-Attijari est-il disponible sur téléphone portable ?,"Oui, vous pouvez accéder au service e-Attijari depuis votre téléphone portable via une application mobile disponible sur Google Play Store ou App Store."
Comment puis-je utiliser e-Attijari sur mon téléphone portable ?,Vous pouvez utiliser e-Attijari sur votre téléphone portable en téléchargeant l'application mobile sur Google Play Store ou App Store.
e-Attijari est-il compatible avec les téléphones portables ?,"Oui, e-Attijari est compatible avec les téléphones portables grâce à son application mobile disponible sur Google Play Store et App Store."
Est-ce que je peux télécharger e-Attijari sur mon téléphone portable ?,"Oui, vous pouvez télécharger l'application mobile e-Attijari sur votre téléphone portable depuis Google Play Store ou App Store pour y accéder."
Quels sont les bénéfices de ce nouveau service ?,"Ce nouveau service présente plusieurs avantages, notamment en termes de sécurité, confidentialité, gestion facilitée des opérations courantes, rapidité d'exécution et économies sur les frais bancaires."
Quels avantages propose ce nouveau service ?,"Ce nouveau service offre divers avantages tels que la sécurité, la confidentialité, la facilité de gestion des opérations courantes, l'instantanéité et les économies sur les frais bancaires."
Quels sont les points forts de ce nouveau service ?,"Les points forts de ce nouveau service résident dans sa sécurité accrue, sa confidentialité, sa gestion pratique des opérations courantes, sa rapidité et ses économies sur les frais bancaires."
Quels sont les atouts de ce nouveau service ?,"Ce nouveau service présente des atouts significatifs, notamment en matière de sécurité, confidentialité, facilité de gestion des opérations quotidiennes, rapidité d'exécution et réduction des frais bancaires."
Qu'est-ce que ce nouveau service offre comme avantages ?,"Ce nouveau service offre plusieurs avantages, incluant une meilleure sécurité, confidentialité renforcée, gestion simplifiée des opérations habituelles, rapidité d'exécution et réduction des frais bancaires."
Quels bénéfices puis-je tirer de ce nouveau service ?,"Vous pouvez tirer plusieurs bénéfices de ce nouveau service, notamment en termes de sécurité améliorée, confidentialité, gestion aisée des opérations courantes, rapidité et économies sur les frais bancaires."
Quels sont les avantages proposés par ce nouveau service ?,"Les avantages offerts par ce nouveau service incluent une meilleure sécurité, une confidentialité renforcée, une gestion simplifiée des opérations courantes, une rapidité d'exécution et des économies sur les frais bancaire"
Quelles fonctionnalités sont accessibles via l'espace client web ?,"L'espace client web de la nouvelle offre e-Attijari propose une gamme étendue de fonctionnalités, incluant la consultation de comptes ainsi que des services transactionnels comme les virements et les transferts d'argent."
Quelles sont les options disponibles sur l'espace client web ?,"Sur l'espace client web de la nouvelle offre e-Attijari, vous pouvez accéder à diverses fonctionnalités, telles que la consultation de comptes, les virements, les transferts d'argent et la gestion des bénéficiaires."
Quels services sont disponibles via l'espace client web ?,"L'espace client web de la nouvelle offre e-Attijari propose une variété de services, notamment la consultation de comptes, les virements, les transferts d'argent et la gestion des bénéficiaires."
Quelles sont les fonctionnalités offertes par l'espace client web ?,"L'espace client web de la nouvelle offre e-Attijari offre plusieurs fonctionnalités, dont la consultation de comptes, les virements, les transferts d'argent et la gestion des bénéficiaires."
Quels outils puis-je utiliser sur l'espace client web ?,"Sur l'espace client web de la nouvelle offre e-Attijari, vous pouvez utiliser des outils tels que la consultation de comptes, les virements, les transferts d'argent et la gestion des bénéficiaires."
Quelles fonctionnalités puis-je trouver sur l'espace client web ?,"L'espace client web de la nouvelle offre e-Attijari propose plusieurs fonctionnalités, notamment la consultation de comptes, les virements, les transferts d'argent et la gestion des bénéficiaires."
Quels sont les services disponibles via l'espace client web ?,"Les services accessibles via l'espace client web de la nouvelle offre e-Attijari comprennent la consultation de comptes, les virements, les transferts d'argent et la gestion des bénéficiaires, entre autres."
Quelles fonctionnalités sont disponibles sur l'application mobile ?,"L'application mobile offre plusieurs fonctionnalités, notamment la consultation des comptes, la réalisation de transactions en ligne, ainsi que d'autres services tels que la visualisation et l'envoi d'un IBAN par mail, ainsi que la possibilité de changer le mot de passe."
Quels sont les services accessibles via l'application mobile ?,"Les services disponibles sur l'application mobile incluent la consultation des comptes, la réalisation de transactions en ligne, ainsi que d'autres fonctionnalités comme la visualisation et l'envoi d'un IBAN par mail, et la possibilité de changer le mot de passe."
Quelles fonctionnalités offre l'application mobile ?,"L'application mobile offre diverses fonctionnalités, telles que la consultation des comptes, la réalisation de transactions en ligne, ainsi que la visualisation et l'envoi d'un IBAN par mail, et la possibilité de changer le mot de passe."
Quels sont les outils disponibles sur l'application mobile ?,"Sur l'application mobile, vous pouvez utiliser des outils tels que la consultation des comptes, la réalisation de transactions en ligne, ainsi que d'autres services comme la visualisation et l'envoi d'un IBAN par mail, et le changement du mot de passe."
Quelles fonctionnalités sont offertes par l'application mobile ?,"L'application mobile offre plusieurs fonctionnalités, telles que la consultation des comptes, la réalisation de transactions en ligne, ainsi que d'autres services comme la visualisation et l'envoi d'un IBAN par mail, et la possibilité de changer le mot de passe."
Quels sont les services disponibles sur l'application mobile ?,"Les services disponibles sur l'application mobile comprennent la consultation des comptes, la réalisation de transactions en ligne, ainsi que d'autres fonctionnalités comme la visualisation et l'envoi d'un IBAN par mail, et le changement du mot de passe."
Quelles fonctionnalités sont proposées sur l'application mobile ?,"Sur l'application mobile, vous trouverez des fonctionnalités telles que la consultation des comptes, la réalisation de transactions en ligne, ainsi que la visualisation et l'envoi d'un IBAN par mail, et la possibilité de changer le mot de passe."
Comment puis-je accéder à e-Attijari ?,"Pour accéder à e-Attijari, après avoir signé le contrat, vous recevrez votre identifiant par e-mail et un mot de passe provisoire par SMS. Lors de votre première connexion, vous serez invité(e) à définir un nouveau mot de passe."
Comment puis-je me connecter à e-Attijari ?,"Pour vous connecter à e-Attijari, après avoir signé le contrat, votre identifiant vous sera envoyé par e-mail et un mot de passe provisoire par SMS. Vous devrez ensuite définir un nouveau mot de passe lors de votre première connexion."
Quelle est la procédure pour accéder à e-Attijari ?,La procédure pour accéder à e-Attijari consiste à recevoir votre identifiant par e-mail et un mot de passe provisoire par SMS après avoir signé le contrat. Vous devrez ensuite définir un nouveau mot de passe lors de votre première connexion.
Comment puis-je me connecter au service e-Attijari ?,"Pour vous connecter au service e-Attijari, vous recevrez votre identifiant par e-mail et un mot de passe provisoire par SMS après avoir signé le contrat. Vous pourrez définir un nouveau mot de passe lors de votre première connexion."
Quels sont les étapes pour accéder à e-Attijari ?,"Les étapes pour accéder à e-Attijari sont les suivantes : après la signature du contrat, vous recevrez votre identifiant par e-mail et un mot de passe provisoire par SMS. Lors de votre première connexion, vous devrez définir un nouveau mot de passe."
Comment puis-je entrer dans e-Attijari ?,"Pour entrer dans e-Attijari, après la signature du contrat, vous recevrez votre identifiant par e-mail et un mot de passe provisoire par SMS. Lors de votre première connexion, vous devrez choisir un nouveau mot de passe."
Quelles sont les démarches pour accéder à e-Attijari ?,Les démarches pour accéder à e-Attijari comprennent la réception de votre identifiant par e-mail et d'un mot de passe provisoire par SMS après la signature du contrat. Vous devrez ensuite choisir un nouveau mot de passe lors de votre première connexion.
Est-ce que je suis obligé(e) de modifier mon mot de passe à la première connexion ?,"Oui, la modification du mot de passe est obligatoire lors de votre première connexion pour des raisons de sécurité."
Est-ce nécessaire de changer mon mot de passe lors de ma première connexion ?,"Oui, il est nécessaire de changer votre mot de passe lors de votre première connexion afin de garantir la sécurité de votre compte."
Dois-je modifier mon mot de passe à ma première connexion ?,"Oui, la modification du mot de passe est requise lors de votre première connexion pour des raisons de sécurité."
Est-ce que je dois changer mon mot de passe lors de ma première connexion ?,"Oui, vous devez changer votre mot de passe lors de votre première connexion pour des raisons de sécurité."
La modification du mot de passe est-elle obligatoire à la première connexion ?,"Oui, il est obligatoire de modifier votre mot de passe lors de votre première connexion pour assurer la sécurité de votre compte."
Est-ce que je dois changer mon mot de passe dès ma première connexion ?,"Oui, il est nécessaire de changer votre mot de passe dès votre première connexion pour des raisons de sécurité."
Dois-je changer mon mot de passe lors de ma première connexion ?,"Oui, vous devez changer votre mot de passe lors de votre première connexion afin de garantir la sécurité de votre compte."
Que dois-je faire si je perds mes codes d'accès ou s'ils sont volés ?,"En cas de perte ou de vol de vos codes d'accès, contactez immédiatement votre conseiller en agence."
Que faire si mes codes d'accès sont perdus ou volés ?,"Si vos codes d'accès sont perdus ou volés, il est impératif de contacter rapidement votre conseiller en agence."
"En cas de perte ou de vol de mes codes d'accès, que dois-je faire ?","En cas de perte ou de vol de vos codes d'accès, vous devez contacter immédiatement votre conseiller en agence."
"Si je perds mes codes d'accès ou s'ils sont volés, que faire ?","Si vous perdez vos codes d'accès ou s'ils sont volés, vous devez contacter votre conseiller en agence dès que possible."
Comment réagir en cas de perte ou de vol de mes codes d'accès ?,"En cas de perte ou de vol de vos codes d'accès, vous devez contacter votre conseiller en agence dès que possible."
Quelle est la marche à suivre si je perds mes codes d'accès ou s'ils sont volés ?,"Si vous perdez vos codes d'accès ou s'ils sont volés, vous devez contacter votre conseiller en agence immédiatement."
Que faire en cas de perte ou de vol de mes codes d'accès ?,"En cas de perte ou de vol de vos codes d'accès, il est essentiel de contacter rapidement votre conseiller en agence pour prendre les mesures nécessaires."
Est-ce que l'accès à mes comptes en ligne est sécurisé ?,Attijariwafa bank Europe a mis en place divers dispositifs pour assurer la sécurité de vos données sur le service e-Attijari.
Mon accès à mes comptes en ligne est-il sécurisé ?,"Oui, Attijariwafa bank Europe a mis en place des dispositifs pour garantir la sécurité de vos données sur le service e-Attijari."
Est-ce que mes comptes en ligne sont sécurisés ?,"Oui, vos comptes en ligne sont sécurisés grâce aux dispositifs mis en place par Attijariwafa bank Europe sur le service e-Attijari."
Les comptes en ligne sont-ils sécurisés ?,"Oui, les comptes en ligne sont sécurisés grâce aux mesures de sécurité mises en place par Attijariwafa bank Europe sur le service e-Attijari."
Mon accès en ligne est-il sûr ?,"Oui, votre accès en ligne est sûr grâce aux dispositifs de sécurité mis en place par Attijariwafa bank Europe sur le service e-Attijari."
Est-ce que je peux accéder à mes comptes en ligne en toute sécurité ?,"Oui, vous pouvez accéder à vos comptes en ligne en toute sécurité grâce aux dispositifs de sécurité instaurés par Attijariwafa bank Europe sur le service e-Attijari."
Est-ce que mes données sont sécurisées sur le service e-Attijari ?,"Oui, vos données sont sécurisées sur le service e-Attijari grâce aux dispositifs de sécurité mis en place par Attijariwafa bank Europe."
Que faire si je ne reçois pas mon code à usage unique par SMS lors de la validation de mes transactions en ligne ?,"Si vous ne recevez pas votre code à usage unique, essayez à nouveau en cliquant sur le bouton ""Confirmer et signer"". Si après trois tentatives vous ne parvenez pas à recevoir le code, contactez soit votre agence bancaire soit le Centre de Relation Client pour obtenir de l'aide."
Que dois-je faire si je ne reçois pas mon code à usage unique par SMS pour valider mes transactions en ligne ?,"Si vous ne recevez pas votre code à usage unique, réessayez en cliquant sur le bouton ""Confirmer et signer"". En cas d'échec après trois tentatives, veuillez contacter votre agence ou le Centre de Relation Client pour assistance."
Comment réagir si je ne reçois pas mon code à usage unique par SMS lors de la validation de mes transactions en ligne ?,"Si vous ne recevez pas votre code à usage unique, réessayez en cliquant sur le bouton ""Confirmer et signer"". Si vous ne parvenez toujours pas à recevoir le code après trois tentatives, veuillez contacter soit votre agence bancaire soit le Centre de Relation Client pour obtenir de l'aide."
Que faire en cas de non-réception de mon code à usage unique par SMS lors de la validation de mes transactions en ligne ?,"En cas de non-réception du code à usage unique par SMS, réessayez en cliquant sur le bouton ""Confirmer et signer"". Si cela échoue après trois tentatives, veuillez contacter votre agence ou le Centre de Relation Client pour obtenir de l'aide."
Comment agir si je ne reçois pas mon code à usage unique par SMS pour valider mes transactions en ligne ?,"Si vous ne recevez pas votre code à usage unique, essayez de nouveau en cliquant sur le bouton ""Confirmer et signer"". Si après trois tentatives vous ne parvenez pas à recevoir le code, veuillez contacter soit votre agence bancaire soit le Centre de Relation Client pour obtenir de l'aide."
Que dois-je entreprendre si je ne reçois pas mon code à usage unique par SMS lors de la validation de mes transactions en ligne ?,"Si vous ne recevez pas votre code à usage unique, réessayez en cliquant sur le bouton ""Confirmer et signer"". Si après trois tentatives vous ne parvenez pas à recevoir le code, veuillez contacter soit votre agence bancaire soit le Centre de Relation Client pour obtenir de l'assistance."
Que faire si le code à usage unique par SMS pour valider mes transactions en ligne n'est pas reçu ?,"Si vous ne recevez pas votre code à usage unique, réessayez en cliquant sur le bouton ""Confirmer et signer"". Si après trois tentatives vous ne parvenez pas à recevoir le code, veuillez contacter soit votre agence bancaire soit le Centre de Relation Client pour obtenir de l'aide."
Quels comptes puis-je consulter dans ma liste des comptes ?,Vous pouvez consulter tous les comptes qui ont été déclarés dans votre contrat lors de la souscription.
Quels types de comptes sont inclus dans ma liste des comptes ?,"Dans votre liste des comptes, vous pouvez consulter tous les comptes qui ont été déclarés lors de la souscription."
Quels sont les comptes disponibles dans ma liste des comptes ?,Tous les comptes déclarés dans votre contrat lors de la souscription sont disponibles dans votre liste des comptes.
Quels comptes sont accessibles dans ma liste des comptes ?,Tous les comptes qui ont été déclarés lors de la souscription sont accessibles dans votre liste des comptes.
Quels comptes puis-je voir dans ma liste des comptes ?,"Dans votre liste des comptes, vous pouvez voir tous les comptes qui ont été déclarés lors de la souscription."
Quels comptes sont répertoriés dans ma liste des comptes ?,"Dans votre liste des comptes, tous les comptes déclarés lors de la souscription sont répertoriés."
Quels comptes sont répertoriés dans la liste des comptes ?,Tous les comptes qui ont été déclarés lors de la souscription sont répertoriés dans la liste des comptes.
Comment sont gérées mes demandes de virements ?,Les demandes de virements sont traitées en tenant compte du solde disponible sur le compte émetteur à la date d'échéance du virement.
Comment mes demandes de virement sont-elles traitées ?,Vos demandes de virement sont traitées en fonction du solde disponible sur le compte émetteur à la date prévue du virement.
Comment sont prises en charge mes demandes de virements ?,Vos demandes de virements sont prises en charge en fonction du solde disponible sur le compte émetteur à la date d'échéance du virement.
Comment sont traitées mes demandes de transferts d'argent ?,Les demandes de transferts d'argent sont traitées en fonction du solde disponible sur le compte émetteur à la date de réalisation du transfert.
Comment sont traitées mes demandes de virement bancaire ?,Vos demandes de virement bancaire sont traitées en fonction du solde disponible sur le compte émetteur au moment prévu pour le virement.
Comment sont gérées mes demandes de transfert de fonds ?,Les demandes de transfert de fonds sont gérées en tenant compte du solde disponible sur le compte émetteur à la date d'exécution du transfert.
Comment sont prises en charge mes demandes de transferts financiers ?,Vos demandes de transferts financiers sont prises en charge en fonction du solde disponible sur le compte émetteur à la date d'échéance du transfert.
Est-il possible de changer mon mot de passe en ligne ?,"Oui, vous avez la possibilité de modifier votre mot de passe à tout moment dans votre espace connecté."
Puis-je modifier mon mot de passe en ligne ?,"Oui, il est possible de changer votre mot de passe en ligne à tout moment."
Est-ce que je peux changer mon mot de passe en ligne ?,"Oui, vous avez la faculté de modifier votre mot de passe en ligne quand vous le souhaitez."
Est-il autorisé de modifier mon mot de passe en ligne ?,"Oui, vous avez l'autorisation de changer votre mot de passe en ligne à tout moment."
Est-ce que je suis en mesure de modifier mon mot de passe en ligne ?,"Oui, vous pouvez modifier votre mot de passe en ligne à tout moment."
Ai-je la possibilité de modifier mon mot de passe en ligne ?,"Oui, vous avez la possibilité de changer votre mot de passe en ligne."
Puis-je changer mon mot de passe en ligne ?,"Oui, vous avez la possibilité de changer votre mot de passe en ligne à tout moment."
Est-il possible de mettre à jour mes informations personnelles en ligne ?,"Non, les informations déclarées dans votre contrat e-Attijari doivent être modifiées en contactant votre conseiller clientèle en agence."
Puis-je modifier mes informations personnelles via le site web ?,"Non, vous ne pouvez pas modifier vos informations personnelles en ligne. Vous devez contacter votre conseiller clientèle en agence pour effectuer les modifications nécessaires."
Est-ce que je peux mettre à jour mes informations personnelles en ligne ?,"Non, les informations de votre contrat e-Attijari ne peuvent pas être modifiées en ligne. Vous devez contacter votre conseiller clientèle en agence pour procéder aux mises à jour requises."
Ai-je la possibilité de modifier mes informations personnelles en ligne ?,"Non, vous n'avez pas la possibilité de modifier vos informations personnelles en ligne. Pour toute mise à jour, veuillez contacter votre conseiller clientèle en agence."
Est-ce que je suis autorisé à changer mes informations personnelles en ligne ?,"Non, les informations de votre contrat e-Attijari ne peuvent pas être modifiées en ligne. Pour apporter des modifications, veuillez contacter votre conseiller clientèle en agence."
Est-il autorisé de modifier mes données personnelles en ligne ?,"Non, vous ne pouvez pas modifier vos données personnelles en ligne. Pour effectuer des changements, veuillez contacter votre conseiller clientèle en agence."
Puis-je mettre à jour mes informations personnelles en ligne ?,"Non, les informations de votre contrat e-Attijari ne peuvent pas être mises à jour en ligne. Pour toute modification, veuillez contacter votre conseiller clientèle en agence."
Pendant combien de temps le service e-Attijari est-il valide ?,La souscription au service e-Attijari est valable pour une durée illimitée.
Quelle est la durée de validité du service e-Attijari ?,Le service e-Attijari est valide indéfiniment après la souscription.
Est-ce que le service e-Attijari expire après un certain temps ?,"Non, la souscription au service e-Attijari n'a pas de limite de validité."
Combien de temps dure la validité du service e-Attijari ?,Le service e-Attijari est valable pour une durée indéterminée.
Est-ce que le service e-Attijari a une période de validité limitée ?,"Non, la souscription au service e-Attijari n'est pas limitée dans le temps."
Quelle est la durée de validité du service e-Attijari ?,Le service e-Attijari reste valable indéfiniment après la souscription.
Le service e-Attijari expire-t-il après un certain laps de temps ?,"Non, la souscription au service e-Attijari est valable indéfiniment."
Comment puis-je mettre fin à mon abonnement e-Attijari ?,Vous pouvez résilier votre abonnement e-Attijari à tout moment en vous rendant en agence.
Quelle est la procédure pour résilier le service e-Attijari ?,"Pour résilier le service e-Attijari, il vous suffit de vous rendre en agence et d'en faire la demande."
Comment résilier mon service e-Attijari ?,La résiliation du service e-Attijari est possible à tout moment en vous rendant en agence.
Est-il possible de mettre fin à mon abonnement e-Attijari ?,"Oui, vous avez la possibilité de résilier votre abonnement e-Attijari en vous rendant simplement en agence."
